"","Localidade","Variável","X1994","X1995","X1996","X1997","X1998","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","X2012","X2013","X2014","X2015","X2016","X2017","X2018","X2019","X2020"
"1383","Nova América da Colina","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"3,09","3,11","2,88","2,92","3,04","4,53","4,68","4,46","5,58","4,85","5,13","5,41","7,87","8,23","5,03","5,34","9,58","7,41","3,88","3,27","4,69","6,8","4,59"
"1384","Nova América da Colina","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1385","Nova América da Colina","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1386","Nova América da Colina","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1387","Nova Aurora","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.400","1.332","1.344","1.318","1.220","1.221","1.171","1.200","788","1.047","1.065","1.360","1.487","1.059","1.028","865","865","891","1.043","929","1.028","1.100","991"
"1388","Nova Aurora","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"421.027,22","517.698,94","558.591,06","597.389,57","596.947,89","582.084,25","621.558,55","519.198,38","407.785,54","598.223,23","649.777,14","1.042.226,10","1.209.850,02","1.051.873,64","1.120.578,96","1.041.262,26","1.034.762,43","1.259.263,97","1.441.160,79","1.355.334,85","1.287.380,57","1.349.191,53","1.548.567,33"
"1389","Nova Aurora","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1","1,2","1,04","0,83","0,82","1,31","0,94","1,08","2,16","2,39","2,63","1,32","1,88","2,93","1,95","2,54","2,43","3,37","2,21","2,48","3,11","2,82","4,04"
"1390","Nova Aurora","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","24","24","24","24","24","24","24","24","24","24","24","33","49","49","49","49"
"1391","Nova Aurora","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","20","20","20","20","20","20","20","20","20","20","20","25","40","40","40","40"
"1392","Nova Aurora","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","4","4","4","4","4","4","4","4","4","4","4","8","9","9","9","9"
"1393","Nova Cantu","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"800","822","768","1.036","621","653","666","614","629","687","650","733","721","652","776","677","737","788","698","823","851","852","606"
"1394","Nova Cantu","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"236.799,13","304.390,90","270.792,58","316.545,94","269.337,61","266.699,00","286.242,34","261.750,12","322.790,21","377.151,17","440.855,78","505.461,11","565.738,51","616.599,17","747.839,83","499.981,13","614.514,99","576.874,34","795.480,80","739.059,75","967.340,60","902.900,51","629.387,77"
"1395","Nova Cantu","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,13","1,82","1,95","1,54","1,93","0,77","1,95","1,47","1,11","2,33","1,69","2,86","2,5","3,07","2,84","2,22","3,39","1,65","2,58","3,04","3,88","3,87","2,97"
"1396","Nova Cantu","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22","22"
"1397","Nova Cantu","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20","20"
"1398","Nova Cantu","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"1399","Nova Esperança","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"2.488","2.599","2.386","2.515","2.393","2.293","2.292","2.445","2.344","2.544","2.557","2.588","2.628","2.227","2.312","2.218","2.115","1.906","1.994","1.945","1.744","1.968","1.664"
"1400","Nova Esperança","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"690.389,39","908.406,75","975.849,29","1.027.734,08","1.121.198,87","1.124.728,95","1.180.386,47","1.334.996,86","1.337.091,27","1.605.416,04","1.753.139,44","1.983.247,44","2.178.687,39","1.973.294,94","2.343.302,69","2.262.204,49","2.263.218,41","2.403.101,15","2.190.218,41","2.763.832,20","2.428.717,76","2.734.652,85","2.676.398,18"
"1401","Nova Esperança","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,29","2,35","1,72","2,54","2,97","2,62","2,01","2,9","1,88","2,71","2,03","1,82","2,85","3,37","3,63","2,98","4,3","2,99","3,51","3,44","3,38","4,17","5,17"
"1402","Nova Esperança","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","81","81","81","81","75","75","75","75","76","75","75","59","67","67","29","29"
"1403","Nova Esperança","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","75","75","75","75","68","68","68","68","69","68","68","56","62","62","29","29"
"1404","Nova Esperança","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","6","6","6","6","7","7","7","7","7","7","7","3","5","5","0","0"
"1405","Nova Esperança do Sudoeste","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"446","452","427","451","416","424","476","435","410","399","399","403","395","424","412","482","383","429","512","487","494","469","482"
"1406","Nova Esperança do Sudoeste","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"126.905,75","139.205,51","151.396,40","142.867,03","132.851,27","138.220,45","192.501,46","165.592,42","216.925,03","205.768,76","294.720,69","269.457,26","262.435,09","414.297,13","377.853,54","623.966,28","442.916,85","448.176,30","588.307,70","633.091,22","618.081,35","655.910,43","716.450,19"
"1407","Nova Esperança do Sudoeste","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,91","2,21","2,34","2,66","1,2","0,47","2,73","0,23","0,73","2,01","2,26","2,23","1,27","4,01","1,7","2,7","2,87","3,5","2,73","4,11","2,02","2,77","5,39"
"1408","Nova Esperança do Sudoeste","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","10","10","10","10","10","10","10","10","10","10","12","12","12","12","12","12"
"1409","Nova Esperança do Sudoeste","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","10","10","10","10","10","10","10","10","10","10","12","12","12","12","12","12"
"1410","Nova Esperança do Sudoeste","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1411","Nova Fátima","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"717","752","1.068","974","659","599","728","725","744","675","757","661","718","778","791","582","726","756","825","827","886","844","765"
"1412","Nova Fátima","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"215.072,44","294.884,48","366.974,42","385.012,23","300.200,06","339.923,94","438.124,75","453.233,82","471.242,26","460.817,78","609.344,98","753.831,53","814.797,25","1.228.168,80","930.682,97","734.576,45","814.402,66","1.129.487,43","927.933,00","966.357,72","1.101.596,05","1.207.166,14","1.221.501,73"
"1413","Nova Fátima","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"3,91","3,06","2,34","1,75","3,79","3,67","4,53","2,76","3,76","2,37","3,96","5,3","4,46","4,11","3,92","3,44","3,72","5,42","3,76","4,11","5,3","4,27","4,97"
"1414","Nova Fátima","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","18","18","18","22","22","22","18","18","16","16","16","16","16","16","16","16"
"1415","Nova Fátima","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","18","18","18","18","18","18","15","15","14","14","14","14","14","14","14","14"
"1416","Nova Fátima","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","4","4","4","3","3","2","2","2","2","2","2","2","2"
"1417","Nova Laranjeiras","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.051","1.164","1.287","1.573","964","865","806","938","853","1.052","920","959","1.082","849","699","684","751","770","876","738","838","905","896"
"1418","Nova Laranjeiras","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"288.395,97","354.180,35","396.274,50","556.852,21","397.691,06","431.017,91","440.890,03","457.428,14","440.151,92","664.263,62","579.165,82","674.403,62","696.530,61","706.052,69","552.561,23","542.615,05","584.675,87","647.318,56","905.204,26","945.651,46","941.930,89","872.911,12","1.089.325,92"
"1419","Nova Laranjeiras","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,57","1,89","1,79","1,27","1,76","3,35","3,23","2,24","2,34","2,38","2,5","2,09","2,03","2,59","3","1,9","2","3,12","2,85","3,39","1,67","2,76","2,9"
"1420","Nova Laranjeiras","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","26","0","24","24","24","24","24","24","0","0","0","0","0","0","0","0"
"1421","Nova Laranjeiras","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","26","0","24","24","24","24","24","24","0","0","0","0","0","0","0","0"
"1422","Nova Laranjeiras","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1423","Nova Londrina","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.038","1.117","1.100","1.130","922","880","939","1.050","1.142","1.230","1.210","1.210","1.255","1.253","1.218","1.165","1.166","1.097","1.045","1.079","1.055","1.205","1.091"
"1424","Nova Londrina","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"225.799,50","339.125,90","362.427,11","438.073,52","455.472,34","409.003,20","478.408,62","465.566,34","624.483,66","698.415,97","860.250,10","881.693,47","997.189,76","1.429.670,44","1.379.486,57","1.264.305,77","1.247.299,32","1.146.394,44","1.252.716,41","1.158.651,99","1.667.270,90","1.769.822,30","1.291.815,92"
"1425","Nova Londrina","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,83","2,24","1,27","1,59","3,36","1,25","1,6","2,19","1,23","2,36","2,48","1,82","2,71","2,63","4,27","3,18","2,74","3,37","3,64","3,8","4,17","3,15","4,4"
"1426","Nova Londrina","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","22","22","22","22","22","22","22","22","22","22","22","32","33","33","33","33"
"1427","Nova Londrina","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","20","20","20","20","20","20","20","20","20","20","20","30","31","31","31","31"
"1428","Nova Londrina","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2"
"1429","Nova Olímpia","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"404","404","436","428","431","423","473","659","522","567","517","406","443","415","386","355","329","372","386","382","449","443","432"
"1430","Nova Olímpia","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"124.599,96","176.291,11","184.413,08","200.061,67","188.375,07","223.643,03","238.184,16","289.503,22","261.074,09","327.555,62","383.648,57","435.628,14","345.005,99","524.966,64","472.679,30","551.474,53","609.918,94","705.387,81","581.590,95","815.931,95","849.437,42","1.176.029,34","914.203,87"
"1431","Nova Olímpia","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,72","2,97","2,29","1,87","3,48","3,78","2,33","2,12","4,41","3,53","4,06","4,43","4,51","6,27","4,15","7,61","8,81","6,45","5,7","3,66","5,57","6,09","5,56"
"1432","Nova Olímpia","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","12","12","12","12","12","12","16","16","16","16","16","16","16","16","16","16"
"1433","Nova Olímpia","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","12","12","12","12","12","12","16","16","16","16","16","16","16","16","16","16"
"1434","Nova Olímpia","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1435","Nova Prata do Iguaçu","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"903","998","943","922","882","803","975","939","897","935","922","915","1.129","962","992","773","1.016","1.110","1.081","977","911","724","678"
"1436","Nova Prata do Iguaçu","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"263.631,36","330.792,77","364.985,60","374.066,31","445.790,73","358.818,07","520.854,55","440.857,37","478.636,97","531.611,16","750.705,10","711.629,32","713.929,25","922.200,70","937.440,58","959.968,36","1.191.482,19","1.127.877,67","1.235.672,11","1.366.185,86","1.493.790,91","1.112.206,12","1.212.883,26"
"1437","Nova Prata do Iguaçu","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,44","2,71","2,23","3,36","3,51","2,86","2,87","3,3","2,79","3,32","2,71","2,62","2,57","2,81","2,72","4,14","3,44","2,79","2,31","2,15","3,29","2,76","3,98"
"1438","Nova Prata do Iguaçu","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","44","44","44","44","40","40","40","40","40","40","17","17","17","17","17","0"
"1439","Nova Prata do Iguaçu","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","38","38","38","38","34","34","34","34","34","34","12","16","16","0","0","0"
"1440","Nova Prata do Iguaçu","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","6","6","6","6","6","6","6","6","6","6","5","1","1","17","17","0"
"1441","Nova Santa Bárbara","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"342","370","336","339","251","209","213","227","276","307","316","313","355","352","410","271","237","194","222","342","352","354","258"
"1442","Nova Santa Bárbara","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"102.916,45","125.002,81","103.621,70","138.298,16","134.240,04","144.036,52","148.074,48","129.603,55","184.007,09","180.640,39","240.520,90","354.550,13","305.481,92","353.756,88","462.219,02","309.258,89","441.665,28","455.553,75","319.733,94","553.937,19","709.649,65","841.400,36","438.539,19"
"1443","Nova Santa Bárbara","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,75","1,08","1,49","3,24","3,59","2,87","3,76","3,08","2,54","2,28","2,22","1,92","2,82","1,7","2,2","4,06","5,06","7,22","8,56","6,73","5,68","3,95","6,59"
"1444","Nova Santa Bárbara","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1445","Nova Santa Bárbara","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1446","Nova Santa Bárbara","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1447","Nova Santa Rosa","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"570","669","558","570","364","549","559","469","528","556","529","522","572","588","551","547","608","572","618","574","655","611","505"
"1448","Nova Santa Rosa","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"179.035,44","270.640,32","293.752,44","284.789,78","276.524,59","323.313,32","398.054,57","350.142,77","356.863,54","361.816,40","392.746,96","472.934,33","486.257,99","598.466,86","576.802,89","586.264,17","741.732,89","703.858,77","785.104,51","690.148,90","709.919,09","724.400,54","810.128,14"
"1449","Nova Santa Rosa","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,93","0,75","0,72","1,4","3,02","1,82","1,25","2,13","2,46","2,16","1,51","1,92","1,4","2,72","2,54","3,11","3,29","2,62","3,07","3,83","2,14","3,76","3,76"
"1450","Nova Santa Rosa","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","10","10","10","10","20","20","20","20","20","20","20","9","11","11","11","11"
"1451","Nova Santa Rosa","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","10","10","10","10","9","9","9","9","9","9","9","6","6","6","6","6"
"1452","Nova Santa Rosa","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","11","11","11","11","11","11","11","3","5","5","5","5"
"1453","Nova Tebas","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.218","1.169","1.188","1.080","716","754","811","787","790","807","713","788","804","700","859","838","916","861","932","823","902","1.323","945"
"1454","Nova Tebas","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"312.065,58","322.120,67","364.160,90","361.043,77","267.960,84","336.311,56","375.242,58","429.221,64","468.856,46","459.968,56","491.494,21","773.978,83","700.495,07","665.029,61","727.446,78","786.071,66","1.020.459,51","909.761,10","922.937,97","1.063.368,60","1.147.241,00","1.532.386,34","1.058.953,24"
"1455","Nova Tebas","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"0,66","0,77","0,84","1,02","1,4","1,19","1,11","1,78","2,66","2,85","1,96","2,54","2,49","3","1,28","1,55","1,64","3,25","3,43","2,92","2,44","2,27","2,12"
"1456","Nova Tebas","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","42","42","42","42","42","42","42","32","32","32","32","32","39","39","49","48"
"1457","Nova Tebas","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","42","42","42","42","42","42","42","32","32","32","32","32","39","39","49","48"
"1458","Nova Tebas","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1459","Novo Itacolomi","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"145","187","195","202","211","168","127","181","163","178","180","188","180","197","179","153","193","138","159","189","170","212","190"
"1460","Novo Itacolomi","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"53.323,13","65.697,25","82.413,36","78.993,30","114.409,13","82.027,67","100.132,53","143.916,56","136.619,85","117.860,30","161.937,23","318.443,18","289.921,31","290.754,01","219.572,24","284.490,30","342.648,65","184.589,80","276.661,55","568.026,54","333.295,49","535.029,42","429.624,41"
"1461","Novo Itacolomi","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"5,52","2,14","1,03","3,47","4,74","5,36","6,3","1,66","4,91","3,93","5","7,45","5,56","5,58","4,47","7,84","4,15","5,8","6,29","5,29","5,88","5,66","14,21"
"1462","Novo Itacolomi","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1463","Novo Itacolomi","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1464","Novo Itacolomi","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1465","Ortigueira","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"2.667","2.516","2.484","2.585","2.332","2.336","2.436","2.392","2.662","2.546","2.486","2.701","2.587","2.065","1.990","1.883","1.971","2.043","2.377","1.366","1.434","1.647","1.369"
"1466","Ortigueira","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"689.970,96","752.756,81","781.162,00","820.754,05","861.791,28","948.422,24","1.146.172,01","1.121.743,67","1.442.999,28","1.484.203,52","1.696.255,73","2.072.718,95","1.965.204,78","1.683.473,33","1.837.121,71","1.815.540,03","1.964.777,83","2.300.284,07","2.998.417,77","2.553.787,59","2.822.207,81","3.353.190,69","3.341.231,31"
"1467","Ortigueira","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,61","0,95","0,97","1,62","2,14","1,8","1,64","1,46","1,58","1,89","1,81","1,7","2,05","1,79","3,27","3,98","3,4","2,89","2,69","4,39","4,74","4,19","5,84"
"1468","Ortigueira","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","72","70","70","70","70","70","70","30","30","30","30","30","30","30","30","30"
"1469","Ortigueira","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","70","70","66","66","66","66","66","26","26","26","26","26","0","0","0","0"
"1470","Ortigueira","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","2","0","4","4","4","4","4","4","4","4","4","4","30","30","30","30"
"1471","Ourizona","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"360","324","310","341","428","380","422","368","242","330","191","246","287","272","271","244","244","211","250","241","280","238","203"
"1472","Ourizona","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"91.086,97","95.405,26","112.378,76","149.041,89","128.990,36","180.489,39","162.549,85","241.489,82","112.351,80","202.435,03","220.265,50","200.542,06","249.097,28","228.678,92","344.668,14","326.539,04","389.225,19","350.393,54","276.745,16","280.123,28","509.960,85","427.896,24","494.791,73"
"1473","Ourizona","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,39","0,93","2,58","2,35","0,93","2,37","2,37","2,17","2,48","3,33","1,57","2,85","3,48","2,94","1,48","4,1","8,2","4,27","4","4,56","5,71","5,88","8,37"
"1474","Ourizona","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","16","16","16","16","14","14","14","14","12","12","12","12","12","12","0","0"
"1475","Ourizona","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","16","16","16","16","14","14","14","14","12","12","12","12","12","12","0","0"
"1476","Ourizona","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1477","Ouro Verde do Oeste","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"476","595","594","540","614","721","643","627","468","609","465","454","401","582","581","576","481","309","271","302","338","339","299"
"1478","Ouro Verde do Oeste","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"144.871,06","206.730,12","242.396,93","198.895,19","242.534,10","318.731,16","312.388,77","287.613,24","247.142,25","376.974,15","408.788,15","476.048,89","410.448,90","748.901,18","609.159,92","592.261,11","469.404,16","635.393,13","537.548,72","493.555,06","626.019,97","624.856,57","853.216,13"
"1479","Ouro Verde do Oeste","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"2,1","2,18","3,87","2,59","2,61","1,11","1,56","0,96","2,35","2,96","2,8","4,63","2,74","3,61","3,96","3,82","3,74","5,5","6,27","5,3","4,44","3,54","5,69"
"1480","Ouro Verde do Oeste","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1481","Ouro Verde do Oeste","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1482","Ouro Verde do Oeste","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1483","Paiçandu","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"3.002","2.864","2.806","3.253","3.213","2.888","2.436","2.756","2.691","2.631","2.484","2.554","2.378","2.092","2.363","2.429","2.032","2.471","2.615","2.601","2.633","2.865","2.780"
"1484","Paiçandu","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"900.532,93","1.052.101,03","1.129.104,16","1.234.951,18","1.418.009,92","1.462.321,31","1.457.560,22","1.563.755,15","1.550.420,96","1.574.245,25","1.802.064,96","2.181.691,20","2.480.765,98","2.399.882,71","2.465.003,17","3.164.494,59","3.142.802,31","3.749.204,57","4.091.878,86","3.954.843,13","4.386.426,05","4.797.746,84","5.360.322,46"
"1485","Paiçandu","Hospitalizações pelo SUS - Geral por Local de Residência - Taxa de Mortalidade nas Internações (%)",NA,NA,NA,NA,"1,6","1,29","1,5","1,41","2,02","2,11","3,04","1,96","2,42","2,51","4,27","3,13","4,21","3,82","2,92","3,95","5,02","3,68","3,67","4,46","5,05","4,29","5,11"
"1486","Paiçandu","Leitos Hospitalares - Existente - Total ",NA,NA,NA,NA,"","","","","","","","63","63","63","63","62","62","62","62","0","15","15","22","15","15","26","26"
"1487","Paiçandu","Leitos Hospitalares - SUS - Total ",NA,NA,NA,NA,"","","","","","","","63","63","63","63","62","62","62","62","0","15","15","22","15","15","26","26"
"1488","Paiçandu","Leitos Hospitalares - Não SUS - Total ",NA,NA,NA,NA,"","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1489","Palmas","Hospitalizações pelo SUS - Geral por Local de Residência - Número de Internações ",NA,NA,NA,NA,"1.728","2.653","2.660","2.697","2.845","3.009","2.831","2.811","2.935","3.131","3.374","3.604","3.493","3.380","3.136","3.491","3.470","3.185","3.482","3.879","3.860","4.216","3.258"
"1490","Palmas","Hospitalizações pelo SUS - Geral por Local de Residência - Gastos Total com Internações (R$ 1,00)",NA,NA,NA,NA,"689.609,72","1.122.793,60","1.275.351,25","1.286.463,92","1.357.036,28","1.717.165,82","1.752.060,40","1.668.465,69","1.989.357,71","2.234.169,53","3.165.573,55","3.822.123,58","3.754.303,39","3.911.265,21","3.590.084,09","4.143.595,02","4.146.305,06","4.380.414,33","5.200.456,14","4.947.756,93","4.467.732,83","4.979.786,99","4.863.566,81"
